method,profile,priority,payment_method,day_type,n_obs,distribution,params,ks_pvalue,ks_statistic,aic,bic,log_likelihood,x_seconds,density
param,express_basket,no_priority,card,tipo_1,137753,gamma,"[1.0044903432036536, 0.0, 239.14789711468703]",0.921055528450864,0.0014853655963422696,1785713.5697608604,1785743.0694133765,-892853.7848804302,,
param,express_basket,no_priority,card,tipo_2,135570,gamma,"[1.0014668582750659, 0.0, 240.4142562008095]",0.8220827755014501,0.0017101122173617256,1758031.28498343,1758060.7367136034,-879012.642491715,,
param,express_basket,no_priority,card,tipo_3,60157,weibull_min,"[0.9978423797715366, 0.0, 239.5492170591496]",0.7901437414766415,0.0026522993798058225,779601.1125122173,779628.1266514884,-389797.5562561086,,
param,express_basket,no_priority,cash,tipo_1,15223,weibull_min,"[1.0024102398326473, 0.0, 239.56376786121436]",0.7588912786318862,0.00542709906144534,197229.17488113808,197252.06656930127,-98611.58744056904,,
param,express_basket,no_priority,cash,tipo_2,15196,gamma,"[0.99886623105617, 0.0, 241.30367372333242]",0.8269063587033717,0.00507393848727522,197095.73027369415,197118.61663623707,-98544.86513684707,,
param,express_basket,no_priority,cash,tipo_3,6677,weibull_min,"[1.0078075600491543, 0.0, 241.31320945139151]",0.9917542613328311,0.005285777209525555,86576.977098525,86597.39637071658,-43285.4885492625,,
param,express_basket,pregnant,card,tipo_1,3453,gamma,"[1.0050781314954733, 0.0, 199.47387798242312]",0.8966816129074379,0.009721105907520122,43518.912628667145,43537.353624759315,-21756.456314333573,,
param,express_basket,pregnant,card,tipo_2,3761,weibull_min,"[0.9935638227208692, 0.0, 210.38581838986593]",0.9978460495412653,0.006362311076363453,47783.25418777454,47801.95150824995,-23888.62709388727,,
param,express_basket,pregnant,card,tipo_3,1692,weibull_min,"[1.0088874012527764, 0.0, 207.06418824064178]",0.2573804971742075,0.024503726103255352,21423.870521837645,21440.171521458145,-10708.935260918823,,
param,express_basket,pregnant,cash,tipo_1,191,gamma,"[0.9354889688474336, 0.0, 196.93073397596868]",0.9488216273944868,0.03688010581394663,2380.0108137675315,2389.7676340516714,-1187.0054068837658,,
param,express_basket,pregnant,cash,tipo_2,188,weibull_min,"[1.037634784395734, 0.0, 193.74204233402438]",0.6884391971464061,0.05119138137053825,2356.390023119565,2366.0993490080546,-1175.1950115597824,,
param,express_basket,pregnant,cash,tipo_3,92,gamma,"[1.2854109243086294, 0.0, 146.95854639167197]",0.5343115963174607,0.08229522726669125,1151.0365854359109,1158.601951167058,-572.5182927179554,,
param,express_basket,reduced_mobility,card,tipo_1,1343,gamma,"[1.0313212571027475, 0.0, 207.71538445220352]",0.9124886309914229,0.015157505610878697,17106.975176129854,17122.583159719423,-8550.487588064927,,
param,express_basket,reduced_mobility,card,tipo_2,1142,gamma,"[1.044249689941476, 0.0, 197.5920010522651]",0.6636798371906119,0.02140883004864752,14461.23050831606,14476.35211748671,-7227.61525415803,,
param,express_basket,reduced_mobility,card,tipo_3,607,gamma,"[1.0678572093126049, 0.0, 193.31713792756008]",0.9941483222045513,0.016870953837231473,7688.964610132102,7702.190196505281,-3841.482305066051,,
param,express_basket,reduced_mobility,cash,tipo_1,233,weibull_min,"[0.9538885878649408, 0.0, 188.23181604119497]",0.9811382074027233,0.029935740278724254,2921.7587330473534,2932.1118484080507,-1457.8793665236767,,
param,express_basket,reduced_mobility,cash,tipo_2,179,gamma,"[1.12527974700038, 0.0, 160.75200602946114]",0.41651747411215423,0.06509173287478931,2223.3203997417986,2232.882557159321,-1108.6601998708993,,
param,express_basket,reduced_mobility,cash,tipo_3,121,gamma,"[0.915853645057631, 0.0, 239.58565453322373]",0.9513069917765853,0.04580022045063881,1551.9974175950185,1560.3847892318088,-772.9987087975093,,
param,express_basket,senior,card,tipo_1,6984,weibull_min,"[1.0107524355176407, 0.0, 213.6664173272193]",0.9892717697625114,0.005285769526163775,88840.54686054905,88861.10099184161,-44417.27343027452,,
param,express_basket,senior,card,tipo_2,5772,weibull_min,"[0.9925833578208805, 0.0, 214.62581880037334]",0.8878444180103158,0.007624752652772293,73564.85216792754,73584.83448968723,-36779.42608396377,,
param,express_basket,senior,card,tipo_3,3537,weibull_min,"[0.9985309011082735, 0.0, 216.2088202686566]",0.9344573612586146,0.008997727856504767,45115.96894615522,45134.482048722835,-22554.98447307761,,
param,express_basket,senior,cash,tipo_1,1242,weibull_min,"[1.0366552618729048, 0.0, 214.9924333203046]",0.9319848270413176,0.015206898217642206,15791.756136097718,15807.129570885198,-7892.878068048859,,
param,express_basket,senior,cash,tipo_2,1034,weibull_min,"[1.035063071269339, 0.0, 224.31903357761195]",0.9089799171514054,0.017356109189854696,13237.655138027283,13252.478708192488,-6615.827569013642,,
param,express_basket,senior,cash,tipo_3,629,weibull_min,"[1.0690625892111467, 0.0, 205.3955923384545]",0.7988970608605837,0.025480098711327392,7926.258338957863,7939.590732727965,-3960.1291694789315,,
param,family_cart,no_priority,card,tipo_1,38867,gamma,"[1.005684932206562, 0.0, 725.3461855413167]",0.9614078794929076,0.002551596168490433,590186.4339973968,590212.1376999185,-295090.2169986984,,
param,family_cart,no_priority,card,tipo_2,33770,gamma,"[0.9863225673716712, 0.0, 732.0661360827098]",0.5877769643303823,0.004204287645913851,512096.81188222487,512122.09386656503,-256045.40594111243,,
param,family_cart,no_priority,card,tipo_3,25757,weibull_min,"[0.9954142110390497, 0.0, 711.9605243781609]",0.9711624049312793,0.0030336119238655312,389964.7543593689,389989.2237445103,-194979.37717968444,,
param,family_cart,no_priority,cash,tipo_1,38324,weibull_min,"[0.9941248561322447, 0.0, 714.0005065420456]",0.8212917417016763,0.0032171219896989234,580489.2844351409,580514.9459299733,-290241.64221757045,,
param,family_cart,no_priority,cash,tipo_2,33648,gamma,"[1.0018538887760313, 0.0, 728.4471562579057]",0.3892897908972337,0.004915074928714069,510968.79099183826,510994.0621185321,-255481.39549591913,,
param,family_cart,no_priority,cash,tipo_3,25734,weibull_min,"[1.0012652829359783, 0.0, 711.690361051071]",0.8407535408025602,0.0038408524230911234,389469.79260608664,389494.2593111479,-194731.89630304332,,
param,family_cart,pregnant,card,tipo_1,976,weibull_min,"[1.0253999672503264, 0.0, 622.373104067777]",0.8987197380381153,0.018151260741705588,14495.206067992538,14509.856455751777,-7244.603033996269,,
param,family_cart,pregnant,card,tipo_2,922,weibull_min,"[1.0147973426600645, 0.0, 601.4036073288462]",0.9538992042438679,0.016768223170355756,13638.654170683209,13653.133806353879,-6816.327085341604,,
param,family_cart,pregnant,card,tipo_3,758,weibull_min,"[0.9753410778151865, 0.0, 609.2428875748167]",0.8935753126465231,0.020731335510380977,11258.283741664476,11272.175791821403,-5626.141870832238,,
param,family_cart,pregnant,cash,tipo_1,770,gamma,"[1.0496559318060765, 0.0, 580.9110585722883]",0.9275753785121336,0.019436007946655787,11420.971333813828,11434.910505358372,-5707.485666906914,,
param,family_cart,pregnant,cash,tipo_2,725,gamma,"[1.036984527939541, 0.0, 597.428692647234]",0.9660846983203912,0.018219751396433725,10777.373608864495,10791.132123829058,-5385.686804432247,,
param,family_cart,pregnant,cash,tipo_3,656,gamma,"[0.9949213858384303, 0.0, 619.6405688408657]",0.9498262139562235,0.020049426067694553,9746.340019811065,9759.798502177897,-4870.170009905532,,
param,family_cart,reduced_mobility,card,tipo_1,377,gamma,"[1.033691332101754, 0.0, 561.7095571328654]",0.8908078093594327,0.029392931244324627,5558.284310383608,5570.081045945952,-2776.142155191804,,
param,family_cart,reduced_mobility,card,tipo_2,271,weibull_min,"[0.9571479330174578, 0.0, 611.0282104830851]",0.9682965195033246,0.029357091086257836,4034.953375547987,4045.759732010626,-2014.4766877739935,,
param,family_cart,reduced_mobility,card,tipo_3,271,gamma,"[0.8911646099823417, 0.0, 722.2614889924537]",0.8736891702421226,0.03541794877185839,4050.755415197421,4061.56177166006,-2022.3777075987105,,
param,family_cart,reduced_mobility,cash,tipo_1,448,gamma,"[1.049100294468732, 0.0, 580.5844740152193]",0.6466260184869139,0.03452458486817478,6646.473850744362,6658.788230441607,-3320.236925372181,,
param,family_cart,reduced_mobility,cash,tipo_2,335,weibull_min,"[1.0008718749358574, 0.0, 578.7368879841657]",0.7049148265809672,0.03796809736011364,4937.525335996657,4948.967727592132,-2465.7626679983287,,
param,family_cart,reduced_mobility,cash,tipo_3,298,gamma,"[1.20414544477315, 0.0, 540.9028945032505]",0.6005369488266061,0.04381952760197805,4457.3809679179985,4468.472248377515,-2225.6904839589993,,
param,family_cart,senior,card,tipo_1,1799,weibull_min,"[1.0251037590617136, 0.0, 647.9086455278407]",0.6661066671247775,0.0170464210678144,26858.54683273607,26875.03179143792,-13426.273416368034,,
param,family_cart,senior,card,tipo_2,1416,weibull_min,"[1.0032969444079367, 0.0, 635.5627492396773]",0.7007739207139099,0.018652743673740313,21113.180314439003,21128.947088261764,-10553.590157219502,,
param,family_cart,senior,card,tipo_3,1437,gamma,"[0.9818776059610507, 0.0, 694.7817247856783]",0.8857199620223737,0.015270626414458977,21633.42584259501,21649.236781253247,-10813.712921297505,,
param,family_cart,senior,cash,tipo_1,2213,weibull_min,"[0.9900286212579055, 0.0, 648.4729837251788]",0.6594614412142952,0.015461259268017447,33107.383829359154,33124.490142379305,-16550.691914679577,,
param,family_cart,senior,cash,tipo_2,1617,gamma,"[1.0860542170957472, 0.0, 587.0990576860405]",0.9878133688446104,0.011057532681343213,24117.49739955457,24133.6623831333,-12055.748699777285,,
param,family_cart,senior,cash,tipo_3,1845,weibull_min,"[1.0277720788219784, 0.0, 650.8581623697534]",0.6034680993453819,0.017699866078517035,27557.839120100853,27574.399823770276,-13775.919560050426,,
param,regular,no_priority,card,tipo_1,80671,weibull_min,"[1.0001932362763344, 0.0, 539.9418301668366]",0.9584559720977631,0.0017872134470920953,1176411.7646398204,1176439.6590431225,-588202.8823199102,,
param,regular,no_priority,card,tipo_2,63245,gamma,"[1.0087861707975785, 0.0, 533.122862601502]",0.8646253883151602,0.0023821645883259635,921798.7287855716,921825.8930996279,-460896.3643927858,,
param,regular,no_priority,card,tipo_3,34919,weibull_min,"[0.9961660274200981, 0.0, 537.7809860091945]",0.8757111802903137,0.0031590236856831044,509060.0457335154,509085.4280926334,-254527.0228667577,,
param,regular,no_priority,cash,tipo_1,14388,weibull_min,"[1.006268538617324, 0.0, 551.5158654108113]",0.8958739844937986,0.004779879153173794,210359.08506857586,210381.8075179903,-105176.54253428793,,
param,regular,no_priority,cash,tipo_2,11408,gamma,"[1.0202573455969581, 0.0, 531.8745504843911]",0.9389096758992673,0.004975146007214826,166479.15699758468,166501.18320801263,-83236.57849879234,,
param,regular,no_priority,cash,tipo_3,6140,gamma,"[1.0196323058362036, 0.0, 530.9331830682594]",0.6747056692265733,0.009184564845705623,89575.79725469294,89595.96499475636,-44784.89862734647,,
param,regular,pregnant,card,tipo_1,1976,gamma,"[0.948797618938572, 0.0, 485.605422618326]",0.9027729763778167,0.012711420114527694,28191.364898263164,28208.131387898087,-14092.682449131582,,
param,regular,pregnant,card,tipo_2,1693,weibull_min,"[1.0125268454832868, 0.0, 449.7234349880968]",0.9152875967620774,0.01344787807989889,24057.96284761827,24074.26561976467,-12025.981423809135,,
param,regular,pregnant,card,tipo_3,924,weibull_min,"[0.9981555708163573, 0.0, 472.06008180806066]",0.9660471759144753,0.016162932168253152,13233.783723232842,13248.269859447768,-6613.891861616421,,
param,regular,pregnant,cash,tipo_1,239,gamma,"[1.072980182793363, 0.0, 380.23233608394116]",0.9874547143354833,0.02844110395919608,3356.6233002599597,3367.0526909157543,-1675.3116501299799,,
param,regular,pregnant,cash,tipo_2,203,weibull_min,"[0.9322184214642124, 0.0, 503.5221798320831]",0.8569639873437617,0.041709989783297846,2949.2333370466713,2959.1729549837964,-1471.6166685233356,,
param,regular,pregnant,cash,tipo_3,116,gamma,"[1.1080190870822189, 0.0, 405.4201367284185]",0.5827157321825576,0.070718045832173,1654.1875888281263,1662.4483594014455,-824.0937944140632,,
param,regular,reduced_mobility,card,tipo_1,791,weibull_min,"[1.014315809450133, 0.0, 469.7548546787847]",0.7826559634029604,0.02311824331440293,11311.175563598757,11325.19545750206,-5652.587781799379,,
param,regular,reduced_mobility,card,tipo_2,501,weibull_min,"[0.9570304710259789, 0.0, 439.3478307757424]",0.9649404189683854,0.02194725943207282,7123.998546872395,7136.64836517565,-3558.9992734361977,,
param,regular,reduced_mobility,card,tipo_3,349,weibull_min,"[1.0193991260721298, 0.0, 427.7118303242304]",0.9959949816201821,0.02150739390323242,4927.236880867248,4938.802096633855,-2460.618440433624,,
param,regular,reduced_mobility,cash,tipo_1,210,weibull_min,"[0.9773593210695087, 0.0, 445.3032026303797]",0.7871851014750315,0.04430542786264302,2991.572361852399,3001.6136844445514,-1492.7861809261994,,
param,regular,reduced_mobility,cash,tipo_2,140,weibull_min,"[0.9927379530276621, 0.0, 505.6041006980092]",0.9094831251667912,0.04643555796090226,2030.087712248906,2038.9126395167339,-1012.043856124453,,
param,regular,reduced_mobility,cash,tipo_3,81,weibull_min,"[0.9271703381473788, 0.0, 403.8005287122395]",0.855096894769518,0.06550884751157515,1145.3504301703085,1152.5337776343258,-569.6752150851543,,
param,regular,senior,card,tipo_1,4048,weibull_min,"[1.0105291001570256, 0.0, 486.3290481603922]",0.1505516426910063,0.017831559892278637,58155.72411493957,58174.642049572474,-29074.862057469785,,
param,regular,senior,card,tipo_2,2676,weibull_min,"[1.0305354799407225, 0.0, 489.451277872882]",0.949428378329281,0.009997336938451507,38435.29255424885,38452.9687895126,-19214.646277124426,,
param,regular,senior,card,tipo_3,2076,gamma,"[1.037151434038215, 0.0, 474.48202140920984]",0.911098396090291,0.012238527843613622,29893.256780461412,29910.17137519427,-14943.628390230706,,
param,regular,senior,cash,tipo_1,959,weibull_min,"[1.0214257707624197, 0.0, 489.24196294721014]",0.8940829617260391,0.018438011328006265,13784.330618952987,13798.928292177638,-6889.165309476493,,
param,regular,senior,cash,tipo_2,696,weibull_min,"[1.0175311523409094, 0.0, 475.52985925937645]",0.8223204716441251,0.023644104870287008,9968.732413306247,9982.36846228725,-4981.366206653123,,
param,regular,senior,cash,tipo_3,475,gamma,"[0.9543546637806692, 0.0, 493.23205812604414]",0.57771001391057,0.03542470295334868,6801.863871872492,6814.353816284596,-3397.931935936246,,
param,self_checkout_fan,no_priority,card,tipo_1,49232,weibull_min,"[0.9967149852321255, 0.0, 481.6661431596026]",0.6847080461523667,0.0032228886527694844,706843.9982490198,706870.4111463125,-353418.9991245099,,
param,self_checkout_fan,no_priority,card,tipo_2,48842,gamma,"[0.9974912142791023, 0.0, 484.4785400835551]",0.9018705655537672,0.0025736654770942557,701431.7412215763,701458.1302592086,-350712.8706107882,,
param,self_checkout_fan,no_priority,card,tipo_3,21145,weibull_min,"[0.9927098015439269, 0.0, 481.4189170014368]",0.8928846381518654,0.003961950619571608,303640.3104833062,303664.1879595559,-151817.1552416531,,
param,self_checkout_fan,no_priority,cash,tipo_1,1020,weibull_min,"[0.955418278567296, 0.0, 461.85466222729605]",0.9515279312772579,0.016048446459687393,14600.683785090023,14615.466458808858,-7297.341892545011,,
param,self_checkout_fan,no_priority,cash,tipo_2,988,weibull_min,"[1.0018870476664303, 0.0, 511.13035266607665]",0.6519105847687223,0.023227447976128135,14304.022701520089,14318.709749613332,-7149.0113507600445,,
param,self_checkout_fan,no_priority,cash,tipo_3,445,weibull_min,"[1.0193138831693624, 0.0, 490.0215160550928]",0.9950579793376811,0.01939689451346127,6401.807200513098,6414.101423359597,-3197.903600256549,,
param,self_checkout_fan,pregnant,card,tipo_1,1147,weibull_min,"[0.9974612182803219, 0.0, 415.4958272171357]",0.9176221132944513,0.016247541902266183,16134.08041255696,16149.215127908348,-8064.04020627848,,
param,self_checkout_fan,pregnant,card,tipo_2,1285,weibull_min,"[1.0370605175035452, 0.0, 405.23773962841835]",0.9893539125474843,0.012243128066720343,17967.30320109298,17982.778743084968,-8980.65160054649,,
param,self_checkout_fan,pregnant,card,tipo_3,571,weibull_min,"[1.0123396973664993, 0.0, 405.83527790233825]",0.6834021161426578,0.02970399119748135,8001.001138138524,8014.043305767492,-3997.500569069262,,
param,self_checkout_fan,reduced_mobility,card,tipo_1,510,gamma,"[0.9318252632962969, 0.0, 436.77669787397025]",0.8315923890496049,0.027294879491822688,7153.2949465178535,7165.998178695008,-3573.6474732589268,,
param,self_checkout_fan,reduced_mobility,card,tipo_2,396,gamma,"[0.9441853688843481, 0.0, 418.16867935151373]",0.886483341449088,0.028868301900486282,5532.069400873949,5544.013643507713,-2763.0347004369746,,
param,self_checkout_fan,reduced_mobility,card,tipo_3,246,weibull_min,"[1.032552144136337, 0.0, 398.9700266685058]",0.9785692786227561,0.029526940361998988,3437.7595887656917,3448.2755833734886,-1715.8797943828458,,
param,self_checkout_fan,reduced_mobility,cash,tipo_1,40,weibull_min,"[1.2808916203280747, 0.0, 501.79893607882616]",0.9683467256550632,0.07426640989093991,574.7946191541062,579.861257516448,-284.3973095770531,,
param,self_checkout_fan,senior,card,tipo_1,2343,weibull_min,"[1.031840003746027, 0.0, 409.1678588167523]",0.9632649995273879,0.010281474698224824,32811.20769767644,32828.48525999196,-16402.60384883822,,
param,self_checkout_fan,senior,card,tipo_2,2021,gamma,"[1.0144736321426324, 0.0, 422.2152025404264]",0.5983974559466492,0.016982805387045385,28541.787889282394,28558.621932434606,-14267.893944641197,,
param,self_checkout_fan,senior,card,tipo_3,1212,weibull_min,"[0.9941231630133622, 0.0, 439.86771731894487]",0.7277144344637686,0.019685932315271826,17189.517993186906,17204.818074686795,-8591.758996593453,,
param,self_checkout_fan,senior,cash,tipo_1,209,weibull_min,"[1.0683627793994057, 0.0, 409.5372070006266]",0.5185274707640963,0.05565799509130337,2926.617028036682,2936.6440307925764,-1460.308514018341,,
param,self_checkout_fan,senior,cash,tipo_2,153,weibull_min,"[0.8958365572051326, 0.0, 388.09750238725337]",0.24274477983246234,0.08189743370409058,2147.816223824822,2156.9075375889993,-1070.908111912411,,
param,self_checkout_fan,senior,cash,tipo_3,88,weibull_min,"[1.099641666546482, 0.0, 443.95212151870066]",0.7976766971360195,0.06711793403523625,1247.2200393650369,1254.6520498084715,-620.6100196825184,,
param,weekly_planner,no_priority,card,tipo_1,51572,weibull_min,"[1.004051952526175, 0.0, 601.1074315170724]",0.3390787437472145,0.0041389546737162775,762967.1745960027,762993.7267985083,-381480.58729800134,,
param,weekly_planner,no_priority,card,tipo_2,44586,gamma,"[1.00714326721264, 0.0, 597.485814102302]",0.5499161534844861,0.0037681980681628646,659863.8308054416,659889.9463310038,-329928.9154027208,,
param,weekly_planner,no_priority,card,tipo_3,36579,weibull_min,"[1.0017119229710068, 0.0, 598.4584767543624]",0.8836222483007695,0.0030536608892419714,540909.5318906103,540935.053579363,-270451.7659453052,,
param,weekly_planner,no_priority,cash,tipo_1,27565,weibull_min,"[0.9996158412894706, 0.0, 597.9874735540891]",0.45230721839460475,0.00516557640427584,407622.44100153586,407647.1139079289,-203808.22050076793,,
param,weekly_planner,no_priority,cash,tipo_2,24056,gamma,"[0.9885805967240808, 0.0, 608.4690654424376]",0.977839186663557,0.00305414603517129,356006.8089759827,356031.0733951567,-178000.40448799136,,
param,weekly_planner,no_priority,cash,tipo_3,19723,weibull_min,"[0.9919868684407998, 0.0, 598.8186115499866]",0.6222492994236339,0.005352797349778948,291841.31090819056,291864.97953042976,-145917.65545409528,,
param,weekly_planner,pregnant,card,tipo_1,1264,gamma,"[0.9778958613670099, 0.0, 513.8564678060088]",0.9972035909792688,0.011119604502747293,18256.716860135544,18272.142969859666,-9125.358430067772,,
param,weekly_planner,pregnant,card,tipo_2,1234,gamma,"[0.9807867046284136, 0.0, 509.17091297248504]",0.959953185915542,0.014273257182295218,17808.328236232537,17823.682284845934,-8901.164118116269,,
param,weekly_planner,pregnant,card,tipo_3,1036,gamma,"[0.9672052100217612, 0.0, 542.0978242243174]",0.9650848272837149,0.015321398441181078,15052.320896402229,15067.150263670686,-7523.160448201114,,
param,weekly_planner,pregnant,cash,tipo_1,551,weibull_min,"[1.0247233790868937, 0.0, 507.00529055218743]",0.6100074191614298,0.03208902861295654,7960.375515887257,7973.310720314716,-3977.1877579436286,,
param,weekly_planner,pregnant,cash,tipo_2,532,weibull_min,"[1.0176791786532253, 0.0, 500.99883988576454]",0.7563386817341372,0.02885190773656443,7676.530669805885,7689.36060027391,-3835.2653349029424,,
param,weekly_planner,pregnant,cash,tipo_3,450,gamma,"[0.9756180275258445, 0.0, 520.534526996919]",0.8797959345151531,0.02735821047465692,6512.976057496949,6525.303800245242,-3253.4880287484743,,
param,weekly_planner,reduced_mobility,card,tipo_1,446,gamma,"[1.0762763633255916, 0.0, 485.98070110453125]",0.50980277875267,0.038525286032843775,6480.127292776176,6492.428249632236,-3237.063646388088,,
param,weekly_planner,reduced_mobility,card,tipo_2,366,weibull_min,"[0.9833861199281696, 0.0, 527.4952296523502]",0.7163356080440673,0.03598579680513769,5331.518319235038,5343.226219235242,-2662.759159617519,,
param,weekly_planner,reduced_mobility,card,tipo_3,398,weibull_min,"[1.0017188877960872, 0.0, 523.4567719018778]",0.6527159298168025,0.036425188271416054,5784.721666785241,5796.6810228010945,-2889.3608333926204,,
param,weekly_planner,reduced_mobility,cash,tipo_1,317,gamma,"[1.0713325603678305, 0.0, 455.5381949911234]",0.8518858913791842,0.03370788425337701,4563.761597764336,4575.038303085968,-2278.880798882168,,
param,weekly_planner,reduced_mobility,cash,tipo_2,252,weibull_min,"[0.9871848974120316, 0.0, 513.4827575936041]",0.7060957416201572,0.04364926115448009,3658.1937473702974,3668.7820346328317,-1826.0968736851487,,
param,weekly_planner,reduced_mobility,cash,tipo_3,276,weibull_min,"[1.0078201051760092, 0.0, 481.45362493968355]",0.8913330825081405,0.03424537828469543,3965.8166074748106,3976.677810071962,-1979.9083037374053,,
param,weekly_planner,senior,card,tipo_1,2383,weibull_min,"[1.021319198938661, 0.0, 546.7652551924439]",0.98443800893046,0.009329760376633023,34773.96841982566,34791.29676625696,-17383.98420991283,,
param,weekly_planner,senior,card,tipo_2,1797,weibull_min,"[0.9883569351616379, 0.0, 524.3811641590557]",0.9761557598931169,0.011192189253372398,26124.175066622945,26140.656688283296,-13059.087533311473,,
param,weekly_planner,senior,card,tipo_3,2171,gamma,"[1.0054107762170574, 0.0, 528.1633730636544]",0.9159028773056924,0.011872821070016915,31593.14893965424,31610.197769163875,-15793.57446982712,,
param,weekly_planner,senior,cash,tipo_1,1618,gamma,"[0.976268293591884, 0.0, 549.3892531265619]",0.9586612773668121,0.012525822812452625,23578.969880910812,23595.136719203667,-11786.484940455406,,
param,weekly_planner,senior,cash,tipo_2,1228,weibull_min,"[1.0559945635647447, 0.0, 547.5681183681118]",0.8115180077377219,0.01805045068907596,17889.83682025617,17905.17624658229,-8941.918410128084,,
